date,product_name,category,units_sold,revenue,city
2024-01-01,Coding AI Agents,Books,2,1600,Mumbai
2024-01-01,Storybook,Books,10,10500,Delhi
2024-01-01,Denim Jeans,Apparel,1,1140,Hyderabad
2024-01-02,Laptop,Electronics,3,135000,Bangalore
2024-01-02,Blender,Home & Kitchen,4,4120,Hyderabad
2024-01-02,Leather Jacket,Apparel,5,2050,Chennai
2024-01-02,Coding AI Agents,Books,6,4800,Hyderabad
2024-01-02,Running Shoes,Apparel,10,1800,Delhi
2024-01-02,Smartphone,Electronics,2,30000,Kolkata
2024-01-03,Non-Stick Pan,Home & Kitchen,3,1920,Mumbai
2024-01-03,Coding AI Agents,Books,5,4000,Chennai
2024-01-03,Non-Stick Pan,Home & Kitchen,1,640,Kolkata
2024-01-03,Socks Pack,Apparel,3,2970,Chennai
2024-01-03,Bluetooth Speaker,Electronics,4,2440,Mumbai
2024-01-03,Coding AI Agents,Books,4,3200,Bangalore
2024-01-03,Financial Freedom,Books,6,2100,Delhi
2024-01-04,Business Strategy,Books,4,1720,Hyderabad
2024-01-04,Storybook,Books,1,1050,Kolkata
2024-01-04,Bluetooth Speaker,Electronics,6,3660,Chennai
2024-01-05,Non-Stick Pan,Home & Kitchen,3,1920,Hyderabad
2024-01-05,Non-Stick Pan,Home & Kitchen,2,1280,Hyderabad
2024-01-06,Bed Sheets,Home & Kitchen,5,1250,Kolkata
2024-01-06,Socks Pack,Apparel,8,7920,Delhi
2024-01-06,Bluetooth Speaker,Electronics,7,4270,Kolkata
2024-01-07,Smartphone,Electronics,5,75000,Delhi
2024-01-07,Business Strategy,Books,3,1290,Hyderabad
2024-01-07,Laptop,Electronics,11,495000,Chennai
2024-01-07,Socks Pack,Apparel,10,9900,Bangalore
2024-01-07,Financial Freedom,Books,10,3500,Chennai
2024-01-07,Leather Jacket,Apparel,8,3280,Bangalore
2024-01-07,Business Strategy,Books,1,430,Delhi
2024-01-07,Air Fryer,Home & Kitchen,10,2000,Bangalore
2024-01-08,Coffee Mug,Home & Kitchen,2,1480,Bangalore
2024-01-08,Running Shoes,Apparel,2,360,Mumbai
2024-01-08,Leather Jacket,Apparel,7,2870,Hyderabad
2024-01-08,Blender,Home & Kitchen,8,8240,Hyderabad
2024-01-09,Coding AI Agents,Books,6,4800,Bangalore
2024-01-09,Bluetooth Speaker,Electronics,3,1830,Kolkata
